query_id,latency_ms,system
0,50.03714561462402,baseline-cloud-th0.9
1,50.31013488769531,baseline-cloud-th0.9
2,51.468849182128906,baseline-cloud-th0.9
3,51.75590515136719,baseline-cloud-th0.9
4,51.12290382385254,baseline-cloud-th0.9
5,52.35600471496582,baseline-cloud-th0.9
6,52.19411849975586,baseline-cloud-th0.9
7,53.74503135681152,baseline-cloud-th0.9
8,53.388118743896484,baseline-cloud-th0.9
9,54.97097969055176,baseline-cloud-th0.9
10,53.6801815032959,baseline-cloud-th0.9
11,55.419921875,baseline-cloud-th0.9
12,56.91170692443848,baseline-cloud-th0.9
13,51.71394348144531,baseline-cloud-th0.9
14,51.4988899230957,baseline-cloud-th0.9
15,50.88162422180176,baseline-cloud-th0.9
16,51.78213119506836,baseline-cloud-th0.9
17,51.45907402038574,baseline-cloud-th0.9
18,51.367998123168945,baseline-cloud-th0.9
19,53.9250373840332,baseline-cloud-th0.9
20,54.49986457824707,baseline-cloud-th0.9
21,52.00600624084473,baseline-cloud-th0.9
22,52.59895324707031,baseline-cloud-th0.9
23,52.97088623046875,baseline-cloud-th0.9
24,54.0461540222168,baseline-cloud-th0.9
25,51.892995834350586,baseline-cloud-th0.9
26,50.66800117492676,baseline-cloud-th0.9
27,52.20985412597656,baseline-cloud-th0.9
28,53.08222770690918,baseline-cloud-th0.9
29,54.48603630065918,baseline-cloud-th0.9
30,57.56402015686035,baseline-cloud-th0.9
31,52.343130111694336,baseline-cloud-th0.9
32,56.197166442871094,baseline-cloud-th0.9
33,56.4420223236084,baseline-cloud-th0.9
34,52.62613296508789,baseline-cloud-th0.9
35,52.48618125915527,baseline-cloud-th0.9
36,53.279876708984375,baseline-cloud-th0.9
37,53.93815040588379,baseline-cloud-th0.9
38,51.89394950866699,baseline-cloud-th0.9
39,53.32612991333008,baseline-cloud-th0.9
40,52.34813690185547,baseline-cloud-th0.9
41,54.24618721008301,baseline-cloud-th0.9
42,53.15685272216797,baseline-cloud-th0.9
43,52.83713340759277,baseline-cloud-th0.9
44,52.33597755432129,baseline-cloud-th0.9
45,52.410125732421875,baseline-cloud-th0.9
46,52.77109146118164,baseline-cloud-th0.9
47,52.50215530395508,baseline-cloud-th0.9
48,52.371978759765625,baseline-cloud-th0.9
49,50.77195167541504,baseline-cloud-th0.9
