query_id,latency_ms,system
0,6.77800178527832,baseline
1,1.5537738800048828,baseline
2,1.4791488647460938,baseline
3,1.5251636505126953,baseline
4,1.4069080352783203,baseline
5,1.85394287109375,baseline
6,1.672983169555664,baseline
7,1.6739368438720703,baseline
8,1.9772052764892578,baseline
9,1.6446113586425781,baseline
10,1.7828941345214844,baseline
11,1.5971660614013672,baseline
12,1.7740726470947266,baseline
13,1.77001953125,baseline
14,1.687765121459961,baseline
15,2.019166946411133,baseline
16,1.74713134765625,baseline
17,1.6751289367675781,baseline
18,1.7809867858886719,baseline
19,1.734018325805664,baseline
20,1.5461444854736328,baseline
21,1.834869384765625,baseline
22,2.1491050720214844,baseline
23,1.6789436340332031,baseline
24,1.6360282897949219,baseline
25,1.7087459564208984,baseline
26,1.5780925750732422,baseline
27,1.6331672668457031,baseline
28,2.0139217376708984,baseline
29,1.7879009246826172,baseline
30,1.489877700805664,baseline
31,1.461029052734375,baseline
32,1.809835433959961,baseline
33,1.7330646514892578,baseline
34,1.5621185302734375,baseline
35,1.6109943389892578,baseline
36,1.5974044799804688,baseline
37,1.9989013671875,baseline
38,1.8110275268554688,baseline
39,1.7919540405273438,baseline
40,1.6181468963623047,baseline
41,1.6360282897949219,baseline
42,1.7931461334228516,baseline
43,1.7778873443603516,baseline
44,1.7778873443603516,baseline
45,1.6040802001953125,baseline
46,1.4548301696777344,baseline
47,1.6503334045410156,baseline
48,1.7781257629394531,baseline
49,1.8358230590820312,baseline
