query_id,latency_ms,system
0,50.785064697265625,baseline-cloud-th0.75
1,50.59027671813965,baseline-cloud-th0.75
2,52.48403549194336,baseline-cloud-th0.75
3,54.57901954650879,baseline-cloud-th0.75
4,52.75702476501465,baseline-cloud-th0.75
5,56.691884994506836,baseline-cloud-th0.75
6,56.143999099731445,baseline-cloud-th0.75
7,57.11007118225098,baseline-cloud-th0.75
8,51.87678337097168,baseline-cloud-th0.75
9,50.840139389038086,baseline-cloud-th0.75
10,53.133249282836914,baseline-cloud-th0.75
11,52.0780086517334,baseline-cloud-th0.75
12,50.527095794677734,baseline-cloud-th0.75
13,51.14293098449707,baseline-cloud-th0.75
14,55.41229248046875,baseline-cloud-th0.75
15,51.818132400512695,baseline-cloud-th0.75
16,54.12793159484863,baseline-cloud-th0.75
17,53.637027740478516,baseline-cloud-th0.75
18,56.999921798706055,baseline-cloud-th0.75
19,56.931257247924805,baseline-cloud-th0.75
20,55.59587478637695,baseline-cloud-th0.75
21,58.21585655212402,baseline-cloud-th0.75
22,56.94174766540527,baseline-cloud-th0.75
23,53.59292030334473,baseline-cloud-th0.75
24,53.05600166320801,baseline-cloud-th0.75
25,52.507877349853516,baseline-cloud-th0.75
26,52.42490768432617,baseline-cloud-th0.75
27,51.972150802612305,baseline-cloud-th0.75
28,53.47609519958496,baseline-cloud-th0.75
29,52.53410339355469,baseline-cloud-th0.75
30,52.86073684692383,baseline-cloud-th0.75
31,52.96015739440918,baseline-cloud-th0.75
32,53.85875701904297,baseline-cloud-th0.75
33,51.71775817871094,baseline-cloud-th0.75
34,52.04892158508301,baseline-cloud-th0.75
35,50.69875717163086,baseline-cloud-th0.75
36,52.510976791381836,baseline-cloud-th0.75
37,52.34217643737793,baseline-cloud-th0.75
38,51.812171936035156,baseline-cloud-th0.75
39,51.05400085449219,baseline-cloud-th0.75
40,53.872108459472656,baseline-cloud-th0.75
41,51.17011070251465,baseline-cloud-th0.75
42,54.76999282836914,baseline-cloud-th0.75
43,54.42929267883301,baseline-cloud-th0.75
44,51.8798828125,baseline-cloud-th0.75
45,51.3768196105957,baseline-cloud-th0.75
46,53.90739440917969,baseline-cloud-th0.75
47,54.92091178894043,baseline-cloud-th0.75
48,52.73127555847168,baseline-cloud-th0.75
49,53.34281921386719,baseline-cloud-th0.75
