query_id,latency_ms,system
0,184.02528762817383,tiered-th0.9
1,92.17214584350586,tiered-th0.9
2,85.53194999694824,tiered-th0.9
3,81.81905746459961,tiered-th0.9
4,83.2059383392334,tiered-th0.9
5,79.1940689086914,tiered-th0.9
6,78.91511917114258,tiered-th0.9
7,85.02674102783203,tiered-th0.9
8,78.49907875061035,tiered-th0.9
9,81.01820945739746,tiered-th0.9
10,78.4749984741211,tiered-th0.9
11,78.74822616577148,tiered-th0.9
12,81.26688003540039,tiered-th0.9
13,80.16014099121094,tiered-th0.9
14,79.74982261657715,tiered-th0.9
15,81.33196830749512,tiered-th0.9
16,77.22091674804688,tiered-th0.9
17,77.5911808013916,tiered-th0.9
18,79.19597625732422,tiered-th0.9
19,81.38489723205566,tiered-th0.9
20,80.33990859985352,tiered-th0.9
21,80.59215545654297,tiered-th0.9
22,80.44195175170898,tiered-th0.9
23,80.34896850585938,tiered-th0.9
24,77.45194435119629,tiered-th0.9
25,82.20124244689941,tiered-th0.9
26,79.57100868225098,tiered-th0.9
27,79.29801940917969,tiered-th0.9
28,83.08291435241699,tiered-th0.9
29,79.09607887268066,tiered-th0.9
30,78.46403121948242,tiered-th0.9
31,80.05976676940918,tiered-th0.9
32,80.62911033630371,tiered-th0.9
33,77.94475555419922,tiered-th0.9
34,78.24897766113281,tiered-th0.9
35,80.20567893981934,tiered-th0.9
36,79.49495315551758,tiered-th0.9
37,79.05793190002441,tiered-th0.9
38,76.61008834838867,tiered-th0.9
39,80.09696006774902,tiered-th0.9
40,77.3477554321289,tiered-th0.9
41,79.89716529846191,tiered-th0.9
42,81.11405372619629,tiered-th0.9
43,81.13598823547363,tiered-th0.9
44,77.95596122741699,tiered-th0.9
45,79.55503463745117,tiered-th0.9
46,77.26907730102539,tiered-th0.9
47,79.38885688781738,tiered-th0.9
48,80.3689956665039,tiered-th0.9
49,79.5290470123291,tiered-th0.9
