query_id,latency_ms,system
0,113.95025253295898,tiered
1,58.73584747314453,tiered
2,59.29207801818848,tiered
3,58.31003189086914,tiered
4,56.71501159667969,tiered
5,57.82294273376465,tiered
6,54.34107780456543,tiered
7,54.98099327087402,tiered
8,55.368900299072266,tiered
9,54.60405349731445,tiered
10,53.045034408569336,tiered
11,54.171085357666016,tiered
12,57.13915824890137,tiered
13,56.23817443847656,tiered
14,55.06300926208496,tiered
15,53.40003967285156,tiered
16,52.19006538391113,tiered
17,53.33304405212402,tiered
18,54.94499206542969,tiered
19,54.878950119018555,tiered
20,56.40101432800293,tiered
21,55.03582954406738,tiered
22,53.06386947631836,tiered
23,53.848981857299805,tiered
24,52.063941955566406,tiered
25,54.34775352478027,tiered
26,55.33885955810547,tiered
27,53.952932357788086,tiered
28,53.385019302368164,tiered
29,53.88617515563965,tiered
30,55.83810806274414,tiered
31,55.92513084411621,tiered
32,59.389352798461914,tiered
33,57.73019790649414,tiered
34,56.925058364868164,tiered
35,57.05595016479492,tiered
36,56.01382255554199,tiered
37,55.90200424194336,tiered
38,55.81808090209961,tiered
39,58.40921401977539,tiered
40,55.539846420288086,tiered
41,55.670976638793945,tiered
42,56.34903907775879,tiered
43,58.04800987243652,tiered
44,57.389020919799805,tiered
45,62.19220161437988,tiered
46,57.539939880371094,tiered
47,57.29103088378906,tiered
48,57.63387680053711,tiered
49,55.278778076171875,tiered
